จังหวัด,provinces,year-2541-1998,year-2543-2000,year-2545-2002,year-2547-2004,year-2549-2006,year-2550-2007,year-2552-2009,year-2554-2011,year-2556-2013,year-2558-2015
กรุงเทพมหานคร,Bangkok,25749,25615,31199,30334,29647,29969.2,33957,35023.7,34425.64,33085.7
สมุทรปราการ,Samut Prakan,15683,15910,16753,18450,19973,20158.2,25861,26192.9,22747.21,22331.8
นนทบุรี,Nonthaburi,25950,26414,28329,29487,32423,29099.3,28731,26946.6,30812.06,31381
ปทุมธานี,Pathum Thani,21731,19468,21910,22460,23118,18993.2,30669,29514,30197.07,29770
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,15859,16757,19201,20717,18789,17534.3,25216,20493.7,20409.63,22218.1
อ่างทอง,Ang Thong,13318,13431,13432,20773,17960,16591.2,21273,21182.5,19633.96,17573.6
ลพบุรี,Lop Buri,15870,14462,15386,16764,14433,14875.4,17357,15944.8,14910.71,17968.9
สิงห์บุรี,Sing Buri,16209,14988,13792,17787,15643,19207.1,23475,22118.2,19631.55,22136.8
ชัยนาท,Chai Nat,13358,12841,12162,14272,16110,17391.9,15536,17766.6,17090.91,17163.1
สระบุรี,Saraburi,17063,15467,15783,17378,17228,19377,21413,22765,22811.16,23017.1
ชลบุรี,Chon Buri,19770,21048,23077,21312,21123,20572.8,25499,24934.2,25704.1,24182
ระยอง,Rayong,17215,18165,19196,18559,17689,18546.3,21024,21872.5,23303.13,24433.5
จันทบุรี,Chanthaburi,17279,16449,17830,17290,19828,18861.1,19595,17597.3,20649.74,23350.8
ตราด,Trat,13296,13463,13010,13365,13439,17050.8,15663,16706.3,18126.65,18989
ฉะเชิงเทรา,Chachoengsao,14646,16231,16531,19009,18295,17958.4,23080,26070.7,23342.12,21782.6
ปราจีนบุรี,Prachin Buri,14539,16471,17944,18472,18565,22883.2,19734,18314.7,20789.55,20994.5
นครนายก,Nakhon Nayok,13091,13584,13167,13574,12889,13806.9,16460,17696.9,17482.59,18153.5
สระแก้ว,Sa Kaeo,8342,9975,15120,12396,12697,15129.8,19531,18571.1,20227.36,20576.7
ราชบุรี,Ratchaburi,16961,14786,17585,16951,17082,13847.3,16760,17253.2,17514.63,15083.9
กาญจนบุรี,Kanchanaburi,13821,12457,15772,15669,16243,13776.7,17220,17301.1,17186.7,15764.8
สุพรรณบุรี,Suphan Buri,12645,11892,12642,11924,13104,11907.6,12393,13450.4,14868.54,14146.1
นครปฐม,Nakhon Pathom,19070,18139,17890,17308,17064,15980.5,20409,21305.4,25876.36,26025.2
สมุทรสาคร,Samut Sakhon,14197,14076,15045,18074,15869,18163.8,18165,18565.4,22559.61,22876.7
สมุทรสงคราม,Samut Songkhram,11833,9918,13388,17830,16546,15600.7,16953,16557.8,19510.69,18801
เพชรบุรี,Phetchaburi,13144,13256,13956,14509,17102,18274.6,19141,18469.4,20170.13,22154.2
ประจวบคีรีขันธ์,Prachuap Khiri Khan,16477,15977,17693,15782,16161,17236.2,21452,22393,25914.62,21267.7
เชียงใหม่,Chiang Mai,12606,12480,13988,14234,14775,15606.9,14585,11703.5,13731.68,11863.8
ลำพูน,Lamphun,12791,12789,14370,16476,15968,16604.9,17898,20380.7,20062.78,20549.9
ลำปาง,Lampang,12767,11360,11879,10744,12433,14692.6,15194,15101.9,16020.52,15314.8
อุตรดิตถ์,Uttaradit,12974,11217,9994,10275,11274,13432.6,12016,13550.2,15219.76,15814.5
แพร่,Phrae,10454,11491,10321,10695,13539,14135.1,13959,15478.6,15454.61,16449.2
น่าน,Nan,11626,11578,10841,12290,12571,14279.7,13623,14078.3,13919.72,14165.2
พะเยา,Phayao,9815,10495,9547,10399,11202,12348.1,11484,11245.1,11835.15,13782.7
เชียงราย,Chiang Rai,10484,10702,10157,10337,11430,12725.5,11391,11068.2,11230.83,12074.6
แม่ฮ่องสอน,Mae Hong Son,6147,5333,5917,5283,6332,7223.7,7879,7405.1,9686.13,12131.4
นครสวรรค์,Nakhon Sawan,10045,10699,11791,11683,13194,13847.8,13933,14268.4,16192.62,17128.4
อุทัยธานี,Uthai Thani,10260,9726,10728,12000,11720,12709.6,13853,13082.6,15689.5,16402
กำแพงเพชร,Kamphaeng Phet,13196,12461,14401,13423,15050,13539.7,15006,16359.5,17880,17370.8
ตาก,Tak,9568,8874,9729,9615,10389,10260.7,12657,13148.8,13918.75,15175.6
สุโขทัย,Sukhothai,9933,8695,9951,11501,11757,13315.1,14321,15311.5,14905,17246.4
พิษณุโลก,Phitsanulok,11416,11276,11805,12163,13801,15162.7,17459,19927.9,19002.98,17649.6
พิจิตร,Phichit,10840,10160,13671,14798,13277,14622.9,15484,14791,18687.19,16854.3
เพชรบูรณ์,Phetchabun,10392,10946,12499,12862,12059,11422.5,13879,13788.9,15598.93,16140.8
นครราชสีมา,Nakhon Ratchasima,10154,11305,13228,13939,13665,14250.8,15397,15618.2,17771.26,18645.4
บุรีรัมย์,Buri Ram,8632,8537,10727,10427,12228,13628.5,12939,14342.9,13951.72,16086.5
สุรินทร์,Surin,12028,12116,12579,12038,14536,14400.5,14746,18583.8,17068.78,18536.9
ศรีสะเกษ,Si Sa Ket,9316,9070,8679,8725,9765,11671.8,12837,13367.5,14609.03,18124.4
อุบลราชธานี,Ubon Ratchathani,9255,10399,10943,11343,13278,16029.6,14755,13586.5,15477.57,13848.2
ยโสธร,Yasothon,8914,9209,10429,10101,11631,12842.2,12110,12549.1,15867.23,14453.2
ชัยภูมิ,Chaiyaphum,8842,9344,9952,10324,13086,12145,16090,15022.1,17162.94,16332.1
อำนาจเจริญ,Amnat Charoen,10361,10224,12516,12772,13989,14862.1,14240,14161.8,17528.52,17029.2
บึงกาฬ,Bungkan,,,,,,,17098,20282.5,20073.17,23696.6
หนองบัวลำภู,Nong Bua Lam Phu,11250,11717,13114,13302,15955,16381.3,13356,13663.7,17622.34,18760.7
ขอนแก่น,Khon Kaen,9335,11247,13803,13892,13483,12866.4,12677,13914.7,15700.07,16880
อุดรธานี,Udon Thani,12257,14759,14353,17307,20697,19086.3,18347,21438.9,21619.51,22535.1
เลย,Loei,12187,12341,12211,11181,12871,15155.4,14314,14916.2,15789.06,16231.7
หนองคาย,Nong Khai,12281,12131,12231,13598,14340,15516.6,15012,15670.3,18360.73,19277.7
มหาสารคาม,Maha Sarakham,10579,11605,11770,12692,12863,16636.4,14714,15506.2,14253.58,14654.2
ร้อยเอ็ด,Roi Et,10053,10638,12565,12176,13826,15475.7,16708,15347.5,17761.85,17755.5
กาฬสินธุ์,Kalasin,10232,10099,9985,9186,10621,13028.1,11151,12445.2,12178.38,12746.6
สกลนคร,Sakon Nakhon,11006,10916,11389,12623,11007,12336.9,11233,13021.3,13474.68,14549
นครพนม,Nakhon Phanom,10256,9652,12573,10868,11665,12049.2,10826,11447.1,12562.25,13973.1
มุกดาหาร,Mukdahan,12211,11818,12463,13188,15094,15637.4,13016,13146.4,15202.76,17767
นครศรีธรรมราช,Nakhon Si Thammarat,14918,14990,16841,18763,19225,20755.9,22102,19364.2,20661.17,19828.7
กระบี่,Krabi,14849,15553,16989,19377,21454,19811.6,19536,20835.7,32836.66,28403.2
พังงา,Phangnga,15979,17870,17400,15100,19675,19271.6,19209,17899.6,21719.34,20716.9
ภูเก็ต,Phuket,19492,19329,22536,23783,22260,21254.7,27151,25337.5,28111.37,27435.4
สุราษฎร์ธานี,Surat Thani,16245,18133,20983,19720,20852,22825.9,27927,28118.6,26410.48,26165.3
ระนอง,Ranong,15101,16358,13962,16218,19619,23602.3,20343,22586.6,18246.94,18616.9
ชุมพร,Chumphon,14044,15074,15681,16452,18654,20567.3,23952,22552.3,23985.4,24541.8
สงขลา,Songkhla,18111,18668,19534,18929,19488,20612.1,21383,21669.8,21744.26,23617.3
สตูล,Satun,11737,14716,17497,18043,19031,18954.4,20190,22714.7,19715.22,19591.2
ตรัง,Trang,18370,19149,18632,17085,18187,22686.6,19618,20922.3,17107.1,19794.9
พัทลุง,Phattalung,18124,15750,13743,17613,17442,18111.6,18404,16635.7,18514.03,17143.3
ปัตตานี,Pattani,11490,12531,11765,13784,11928,14011.7,14119,16668.1,14809.34,15341.1
ยะลา,Yala,13077,11990,12337,10580,12576,14776.7,12883,12521.7,12370.15,13453.9
นราธิวาส,Narathiwat,8201,9711,11302,10486,12162,13901,12686,13727.8,11985.95,13717.4
